"Sport","Name","Height","Weight","Age"
"Sailing","Carrie Smith",165,55,21
"Athletics","Henry Max Frayne",188,83,26
"Cycling","Annette Edmondson",171,65,24
"Alpine Skiing","Greta Small",181,70,18
"Boxing","Jason Eric Whateley",196,91,25
"Cycling","Daniel McConnell",180,70,31
"Cross Country Skiing","Callum Watson",180,66,24
"Short Track Speed Skating","Deanna Lockett",163,48,18
"Cycling","Georgia Baker",179,66,21
"Snowboarding","Holly Crawford",173,63,29
"Cycling","Annette Edmondson",171,65,24
"Rugby Sevens","Gemma Etheridge",169,66,29
"Hockey","Jane-Anne Claxton",169,60,23
"Alpine Skiing","Greta Small",181,70,18
"Rowing","Olympia Aldersey",183,75,24
"Short Track Speed Skating","Deanna Lockett",163,48,18
"Rugby Sevens","Patrick ""Pat"" McCutcheon",187,105,29
"Swimming","Jack Alan McLoughlin",183,75,21
"Cross Country Skiing","Callum Watson",180,66,24
"Swimming","Jessica Ashwood",173,64,23
"Cycling","Melissa Hoskins",175,64,25
"Bobsleigh","Jana Emily Pittman (-Rawlinson)",180,82,31
"Rugby Sevens","Evania Pelite",169,67,21
"Water Polo","Joel Swift",190,103,26
"Equestrianism","Sam Griffiths",171,73,44
"Water Polo","Zoe Arancini",170,70,25
"Sailing","Ashley Stoddart",172,70,23
"Tennis","Jordan Thompson",183,73,22
"Basketball","Cameron David Bairstow",206,118,25
"Rugby Sevens","Emilee Cherry",168,70,23
"Snowboarding","Nathan Johnstone",173,65,23
"Equestrianism","Sam Griffiths",171,73,44
"Freestyle Skiing","Anton Grimus",194,105,23
"Swimming","Jarrod Poort",185,85,21
"Rowing","David Watts",191,96,24
"Cycling","Simon Clarke",175,64,30
"Cycling","Katrin Garfoot",166,56,34
"Cross Country Skiing","Callum Watson",180,66,24
"Swimming","Jake Packard",195,68,22
"Rowing","Sarah Banting",165,60,22
"Rugby Sevens","Shannon Parry",170,70,26
"Football","Alanna Stephanie Kennedy",176,54,21
"Triathlon","Emma Moffatt",171,57,31
"Water Polo","Aaron Younger",193,100,24
"Figure Skating","Danielle O'Brien",150,46,23
"Synchronized Swimming","Cristina Sheehan",163,49,17
"Table Tennis","David Powell",175,67,25
"Tennis","Samantha Jane Stosur",175,68,32
"Athletics","Patrick Tiernan",183,83,21
"Basketball","Erin Victoria Phillips",173,70,31
"Cycling","Caroline Buchanan",165,68,25
"Triathlon","Ryan Fisher",173,64,25
"Badminton","Hsuan-Yu ""Wendy"" Chen",167,56,23
"Freestyle Skiing","Danielle Scott",167,57,23
"Freestyle Skiing","Britteny Cox",163,59,19
"Rugby Sevens","Con Foley",188,90,23
"Cross Country Skiing","Phillip ""Phil"" Bellingham",185,84,22
